deviceid,station_id,feeder,district,substation,kva,ct,installation_type,latitude,longitude,mea_no,address,hv,lv,installation_date,manufacturer,genre,ct_high,ct_low,tap_changer
236200646,BKT0349,BA432,บางกะปิ,NULL,225.0,400/5,แขวนเสา,13.735817386,100.608375937,4EE-5857,NULL,NULL,NULL,2021-09-27,NULL,TLM,400,5,manual
236200045,BKT2397,SG414,บางกะปิ,NULL,225.0,800/5,แขวนเสา,13.687892,100.625093,2EE-411,NULL,NULL,NULL,2021-12-06,NULL,TLM,800,5,manual
SD22525,SD22525,SD22,วัดเลียบ,SD,500,1/1,แขวนเสา,13.7333194188576,100.514523379535,LL-317,ถ.เจริญกรุง  ใกล้ ถ.นี้จงสวัสดิ์,12000,380,1994-10-08,ศิริวิวัฒน์,Network Transformer,1,1,manual
236201196,BKT0455,SG423,บางกะปิ,NULL,225.0,800/5,แขวนเสา,13.70984433,100.642494389,2EE-3515,NULL,NULL,NULL,2021-11-27,NULL,TLM,800,5,manual
SD14514,SD14514,SD14,วัดเลียบ,SD,500,1/1,แขวนเสา,13.7492823837968,100.51426437008,LL-1398,ถ.พลับพลาไชย  ใกล้ ซ.ยศเส,12000,380,2020-11-30,เจริญชัย,Network Transformer,1,1,manual
WL15510,WL15510,WL15,วัดเลียบ,WL,500,1/1,แขวนเสา,13.7443744728265,100.500264579173,LL-0144,ถ.จักรเพชร ตลาดพาหุรัด(อาคาร C),12000,380,1989-08-15,Elco,Network Transformer,1,1,manual
236200044,BKT1725,SG421,บางกะปิ,NULL,225.0,800/5,แขวนเสา,13.687618102,100.640960911,2EE-9733,NULL,NULL,NULL,2021-12-06,NULL,TLM,800,5,manual
236200055,KTT0990,SU11,คลองเตย,NULL,750.0,1400/5,นั่งร้าน,13.724158973,100.51745614,2MM-0826,NULL,NULL,NULL,2022-02-06,NULL,TLM,1400,5,manual
236200206,KTT1108,SY21,คลองเตย,NULL,300.0,800/5,แขวนเสา,13.730367028,100.516348224,2JJ-4706,NULL,NULL,NULL,2021-08-31,NULL,TLM,800,5,manual
236200910,BKT2447,SV436,บางกะปิ,NULL,150.0,400/5,แขวนเสา,13.741604,100.581226,2DD-2514,NULL,NULL,NULL,2021-09-28,NULL,TLM,400,5,manual
236201304,KTT0622,PK422,คลองเตย,NULL,500.0,1400/5,นั่งร้าน,13.709971229,100.569565709,2LL-1040,NULL,NULL,NULL,2022-06-22,NULL,TLM,1400,5,manual
236201597,BKT1572,NN411,บางกะปิ,NULL,500.0,1400/5,นั่งร้าน,13.753744504,100.542486149,2LL-4058,NULL,NULL,NULL,2022-07-23,NULL,TLM,1400,5,manual
SD41506,SD41506,SD41,วัดเลียบ,SD,500,1/1,แขวนเสา,13.7494540174373,100.514045998519,LL-1426,ถ.เฉลิมเขตต์ 1  ใกล้ ถ.พลับพลาไชย,12000,380,2020-05-28,เจริญชัย,Network Transformer,1,1,manual
SD12518,SD12518,SD36,วัดเลียบ,SD,500,1/1,แขวนเสา,13.7459597120681,100.514547822184,LL-1408,ถ.หลวง  ข้างวัดเทพศิรินทร์,12000,380,2020-10-11,เจริญชัย,Network Transformer,1,1,manual
236200720,KTT0363,NS412,คลองเตย,NULL,300.0,800/5,นั่งร้าน,13.70349802,100.545064768,2JJ-3880,NULL,NULL,NULL,2022-01-23,NULL,TLM,800,5,manual
236200860,KTT0689,PM22,คลองเตย,NULL,500.0,800/5,นั่งร้าน,13.740574747,100.520306462,2LL-6016,NULL,NULL,NULL,2021-12-18,NULL,TLM,800,5,manual
236201262,KTT0632,PK425,คลองเตย,NULL,750.0,800/5,นั่งร้าน,13.715977016,100.583046361,2MM-1377,NULL,NULL,NULL,2022-03-27,NULL,TLM,800,5,manual
236201318,KTT0406,NS414,คลองเตย,NULL,1000.0,1400/5,นั่งร้าน,13.704002914,100.545836438,2NN-0489,NULL,NULL,NULL,2022-06-08,NULL,TLM,1400,5,manual
236201234,KTT0030,EM413,คลองเตย,NULL,150.0,200/5,แขวนเสา,13.722344538,100.573470458,4DD-5473,NULL,NULL,NULL,2022-03-21,NULL,TLM,200,5,manual
236201260,BKT1935,NN411,บางกะปิ,NULL,500.0,800/5,นั่งร้าน,13.752786331,100.54365177,2LL-3791,NULL,NULL,NULL,2022-07-23,NULL,TLM,800,5,manual
236201441,KTT0511,PI436,คลองเตย,NULL,500.0,1400/5,นั่งร้าน,13.713509245,100.571172809,0,NULL,NULL,NULL,2022-05-29,NULL,TLM,1400,5,manual
236200362,KTT0503,PI435,คลองเตย,NULL,225.0,400/5,แขวนเสา,13.738272,100.555932,2EE-9541,NULL,NULL,NULL,2021-08-17,NULL,TLM,400,5,manual
236201023,KTT0918,SAM21,คลองเตย,NULL,500.0,800/5,นั่งร้าน,13.742165036,100.519865642,2LL-1272,NULL,NULL,NULL,2021-12-11,NULL,TLM,800,5,manual
236201025,BKT0490,SG416,บางกะปิ,NULL,225.0,800/5,นั่งร้าน,13.710136928,100.629898233,2EE-1930,NULL,NULL,NULL,2021-12-08,NULL,TLM,800,5,manual
236200319,KTT0460,PI424,คลองเตย,NULL,150.0,400/5,แขวนเสา,13.716726,100.567431,0,NULL,NULL,NULL,2021-08-21,NULL,TLM,400,5,manual
236201386,KTT0774,SA412,คลองเตย,NULL,500.0,1400/5,นั่งร้าน,13.72461797,100.5634879,2LL-0854,NULL,NULL,NULL,2022-04-03,NULL,TLM,1400,5,manual
236201411,KTT0557,PK413,คลองเตย,NULL,500.0,1400/5,นั่งร้าน,13.70593483,100.584726036,2LL-5596,NULL,NULL,NULL,2022-04-30,NULL,TLM,1400,5,manual
